id,order,score,weight,color,label
FP,1.2,29.83,1.0,#BA2749,NA
AO,2.0,54.82,1.0,#E75A48,NA
NP,3.0,NA,1.0,#F57546,NA
CS,4.0,85.49,1.0,#FA9856,NA
CP,5.0,87.82,1.0,#FDB668,NA
TR,6.0,8.96,1.0,#FED17E,NA
LE,7.2,72.92,1.0,#ECF094,NA
SP,8.2,44.92,1.0,#94D3A4,NA
CW,9.0,60.99,1.0,#56A9AF,NA
BD,10.2,86.14,1.0,#4E6DB0,NA
